timestep_index,state_54_eV,state_55_eV,state_56_eV,state_57_eV,state_58_eV,state_59_eV,state_60_eV,state_61_eV,state_62_eV
436,-6.97202488154,-6.2478632759,-5.94976204852,-5.75946098532,-2.60025101982,-2.19536117774,-1.43784700636,-0.971496403818,-0.654127690437
441,-6.97228720346,-6.24940205651,-5.95025201909,-5.75855059903,-2.59935836202,-2.19510555933,-1.43706014706,-0.968116788245,-0.65525043982
446,-6.97254982462,-6.25093094794,-5.95074538022,-5.7576392792,-2.59846278857,-2.19485295703,-1.43627930243,-0.964733955245,-0.656380565454
451,-6.97281274697,-6.25244968663,-5.95124207668,-5.75672719777,-2.5975643853,-2.19460342317,-1.43550459806,-0.961349438319,-0.657518034035
456,-6.97307598416,-6.25395802365,-5.95174207018,-5.755814519,-2.59666325629,-2.19435700059,-1.43473614623,-0.9579647769,-0.658662829253
461,-6.97333953218,-6.25545571751,-5.95224531919,-5.75490140103,-2.59575949097,-2.19411372173,-1.43397407156,-0.95458151924,-0.659814920651
466,-6.97360340575,-6.25694251911,-5.95275178719,-5.75398801261,-2.59485318959,-2.19387361858,-1.43321846969,-0.951201210191,-0.660974284103
471,-6.97386762686,-6.25841818335,-5.95326146685,-5.75307453199,-2.59394446063,-2.19363673439,-1.43246946467,-0.947825389693,-0.662140909616
476,-6.97413216539,-6.25988241964,-5.95377428875,-5.75216106911,-2.59303335462,-2.19340304971,-1.43172710822,-0.944455592893,-0.663314725941
481,-6.97439703463,-6.26133500236,-5.95429023575,-5.75124779668,-2.59211997885,-2.19317262082,-1.43099152853,-0.941093423786,-0.664495721251
486,-6.97466224174,-6.26277569401,-5.95480927512,-5.75033487001,-2.59120442088,-2.19294547578,-1.43026278886,-0.937740225071,-0.665683849641
491,-6.97492779712,-6.26420425617,-5.95533137663,-5.74942242634,-2.590286775,-2.19272164254,-1.42954096319,-0.934397562735,-0.666879076302
496,-6.97519371441,-6.26562043929,-5.95585650917,-5.74851061395,-2.58936713717,-2.19250115974,-1.42882613887,-0.931066932713,-0.668081362608
